candidate,reference
The Cape du Couedic wave buoy was found on Kangaroo Island after breaking free from its moorings.,केप डु कुएडिक वेभ बोया कंगारु टापुमा यसको मुरिङबाट मुक्त भएपछि फेला परेको थियो।
"It follows lengthy repairs in 2024 and 2025, as well as a replacement """"specialist mooring"""" part.","यसले २०२४ र २०२५ मा लामो मर्मतसम्भार गरेपछि, साथै ""विशेषज्ञ मुरिङ"" भागलाई प्रतिस्थापन गर्दछ।"
"A father and son from the United States have died after being stung by a swarm of """"murder hornets"""" at a resort in Laos.","लाओसको एक रिसोर्टमा ""हत्यारा हर्नेट"" को बथानले टोकेपछि संयुक्त राज्य अमेरिकाका एक बाबु र छोराको मृत्यु भएको छ।"
"The pair were taken to a medical clinic showing no signs of allergic reaction, but later died in a regional hospital.",ती जोडीलाई एलर्जीको कुनै लक्षण नदेखिएको मेडिकल क्लिनिकमा लगिएको थियो तर पछि क्षेत्रीय अस्पतालमा मृत्यु भयो।
after a season marred by a number of racist incidents.,"धेरै जातीय घटनाहरूले भरिएको सिजन पछि, कृपया हामीलाई थाहा दिनुहोस्। क्राउडहरू २०२५ AFL ग्रान्ड फाइनलमा आइपुगेका छन्।"
Australia's race discrimination commissioner says the AFL is failing in its responsibility to fight against racism aimed at its players.,अष्ट्रेलियाका जातीय भेदभाव आयुक्तले एएफएलले आफ्ना खेलाडीहरूमाथि लक्षित जातिवाद विरुद्ध लड्ने आफ्नो जिम्मेवारीमा असफल भइरहेको बताएका छन्।
"Each week, Behind the News presenter and proud Gomeroi man Jack Evans greets a million kids across the country with """"Yaama"""" — the Gamilaroi word for hello.","प्रत्येक हप्ता, बिहाइन्ड द न्युज का प्रस्तुतकर्ता र गर्विला गोमेरोईका व्यक्ति ज्याक इभान्सले देशभरका दस लाख बालबालिकालाई """"यामा"""" ले अभिवादन गर्छन् - जसको अर्थ ""नमस्ते"" हो।"
"With our audience, I'm always trying to show that you should be proud of who you are and where you've come from,"""" Jack says.","हाम्रा दर्शकहरूसँग, म सधैं यो देखाउने प्रयास गर्छु कि तपाईं को हुनुहुन्छ र तपाईं कहाँबाट आउनुभएको हो भन्ने कुरामा गर्व गर्नुपर्छ,"" ज्याक भन्छन्।"
"When Disaster Relief Australia comes into a community to run a big map exercise, it is literally that.","जब डिजास्टर रिलिफ अष्ट्रेलिया कुनै समुदायमा ठूलो नक्सा अभ्यास सञ्चालन गर्न आउँछ, यो शाब्दिक रूपमा त्यस्तै हुन्छ।"
"They print a large, full-colour satellite map of the town or local government area they are working with and invite community members in to walk on it.","उनीहरूले काम गरिरहेको शहर वा स्थानीय सरकारी क्षेत्रको ठूलो, पूर्ण-रंगीन उपग्रह नक्सा छाप्छन् र समुदायका सदस्यहरूलाई त्यसमा हिंड्न आमन्त्रित गर्छन्।"
Police are undertaking a rescue operation for an 18-year-old man who was caught in blizzard conditions near Mount Buller overnight.,माउन्ट बुलर नजिकै राति हिमपातको अवस्थामा फसेका १८ वर्षीय एक युवकको लागि प्रहरीले उद्धार अभियान सञ्चालन गरिरहेको छ।
The rescue is the second in the region in 24 hours after a 49-year-old hiker needed assistance off the mountain on Tuesday evening.,मंगलबार साँझ ४९ वर्षीय पदयात्रीलाई पहाडबाट सहयोग चाहिएपछि २४ घण्टामा यस क्षेत्रमा दोस्रो उद्धार भएको हो।
