candidate,reference,P,R,F1
Please let us know The Cape du Couedic wave buoy sits off the coast of south-west Kangaroo Island., कृपया हामीलाई थाहा दिनुहोस् केप डु कुएडिक वेभ बोया दक्षिण-पश्चिम कंगारु टापुको तटमा अवस्थित छ।कृपया हामीलाई थाहा दिनुहोस् केप डु कुएडिक वेभ बोया दक्षिण-पश्चिम कंगारु टापुको तटमा अवस्थित छ।,0.8513761162757874,0.8417477011680603,0.8465344905853271
The Cape du Couedic wave buoy was found on Kangaroo Island after breaking free from its moorings., केप डु कुएडिक वेभ बोया कंगारु टापुमा यसको मुरिङबाट मुक्त भएपछि फेला परेको थियो।केप डु कुएडिक वेभ बोया कंगारु टापुमा यसको मुरिङबाट मुक्त भएपछि फेला परेको थियो।,0.8331287503242493,0.832477331161499,0.8328028917312622
"It follows lengthy repairs in 2024 and 2025 as well as a replacement """"specialist mooring"""" part."," यसले २०२४ र २०२५ मा लामो मर्मतसम्भार गरेपछि साथै ""विशेषज्ञ मुरिङ"" भागलाई प्रतिस्थापन गर्दछ।",0.8729193806648254,0.8685709238052368,0.8707396984100342
Please let us know The Asian giant hornet is also known as a murder hornet., कृपया हामीलाई थाहा दिनुहोस्। एसियाली विशाल हर्नेटलाई हत्या हर्नेट पनि भनिन्छ।,0.8968181610107422,0.88856440782547,0.8926722407341003
"A father and son from the United States have died after being stung by a swarm of """"murder hornets"""" at a resort in Laos."," लाओसको एक रिसोर्टमा ""हत्यारा हर्नेट"" को बथानले टोकेपछि संयुक्त राज्य अमेरिकाका एक बाबु र छोराको मृत्यु भएको छ।",0.8730279207229614,0.8675655722618103,0.8702881932258606
The pair were taken to a medical clinic showing no signs of allergic reaction but later died in a regional hospital., ती जोडीलाई एलर्जीको कुनै लक्षण नदेखिएको मेडिकल क्लिनिकमा लगिएको थियो तर पछि क्षेत्रीय अस्पतालमा मृत्यु भयो।,0.8920050859451294,0.8920848369598389,0.8920450210571289
Please let us know Crowds arrive at the 2025 AFL grand final after a season marred by a number of racist incidents., धेरै जातीय घटनाहरूले भरिएको सिजन पछि कृपया हामीलाई थाहा दिनुहोस्। क्राउडहरू २०२५ AFL ग्रान्ड फाइनलमा आइपुगेका छन्।,0.8793712854385376,0.8752838373184204,0.877322793006897
Australia's race discrimination commissioner says the AFL is failing in its responsibility to fight against racism aimed at its players., अष्ट्रेलियाका जातीय भेदभाव आयुक्तले एएफएलले आफ्ना खेलाडीहरूमाथि लक्षित जातिवाद विरुद्ध लड्ने आफ्नो जिम्मेवारीमा असफल भइरहेको बताएका छन्।,0.8915614485740662,0.8919402956962585,0.8917508721351624
Please let us know Jack Evans is promoting Indigenous language proudly on screen., कृपया हामीलाई थाहा दिनुहोस् कि ज्याक इभान्सले पर्दामा गर्वका साथ आदिवासी भाषाको प्रचार गरिरहेका छन्।,0.8825779557228088,0.8705324530601501,0.8765138387680054
"Each week Behind the News (BTN) presenter and proud Gomeroi man Jack Evans greets a million kids across the country with """"Yaama"""" — the Gamilaroi word for hello."," प्रत्येक हप्ता बिहाइन्ड द न्युज (BTN) का प्रस्तुतकर्ता र गर्विला गोमेरोईका व्यक्ति ज्याक इभान्सले देशभरका दस लाख बालबालिकालाई """"यामा"""" ले अभिवादन गर्छन् - जसको अर्थ ""नमस्ते"" हो।",0.8750283718109131,0.8634913563728333,0.869221568107605
"With our audience I'm always trying to show that you should be proud of who you are and where you've come from"""" Jack says."," हाम्रा दर्शकहरूसँग म सधैं यो देखाउने प्रयास गर्छु कि तपाईं को हुनुहुन्छ र तपाईं कहाँबाट आउनुभएको हो भन्ने कुरामा गर्व गर्नुपर्छ"" ज्याक भन्छन्।",0.9002731442451477,0.8922290205955505,0.8962330222129822
When Disaster Relief Australia (DRA) comes into a community to run a big map exercise it is literally that., जब डिजास्टर रिलिफ अष्ट्रेलिया (DRA) कुनै समुदायमा ठूलो नक्सा अभ्यास सञ्चालन गर्न आउँछ यो शाब्दिक रूपमा त्यस्तै हुन्छ।,0.8825703263282776,0.8667790293693542,0.8746033906936646
They print a large full-colour satellite map of the town or local government area they are working with and invite community members in to walk on it., उनीहरूले काम गरिरहेको शहर वा स्थानीय सरकारी क्षेत्रको ठूलो पूर्ण-रंगीन उपग्रह नक्सा छाप्छन् र समुदायका सदस्यहरूलाई त्यसमा हिंड्न आमन्त्रित गर्छन्।,0.8870430588722229,0.866966962814331,0.8768901228904724
Please let us know Blizzard conditions on Mount Buller saw snow fall overnight., कृपया हामीलाई जानकारी गराउनुहोस् कि माउन्ट बुलरमा हिमपातको अवस्था रातभरि हिउँ परेको थियो।,0.86708003282547,0.859793484210968,0.8634213805198669
Police are undertaking a rescue operation for an 18-year-old man who was caught in blizzard conditions near Mount Buller overnight., माउन्ट बुलर नजिकै राति हिमपातको अवस्थामा फसेका १८ वर्षीय एक युवकको लागि प्रहरीले उद्धार अभियान सञ्चालन गरिरहेको छ।,0.8774252533912659,0.8792508840560913,0.8783370852470398
The rescue is the second in the region in 24 hours after a 49-year-old hiker needed assistance off the mountain on Tuesday evening., मंगलबार साँझ ४९ वर्षीय पदयात्रीलाई पहाडबाट सहयोग चाहिएपछि २४ घण्टामा यस क्षेत्रमा दोस्रो उद्धार भएको हो।,0.8760278820991516,0.883468508720398,0.8797324299812317
